"Subzone","Planning Area","Population"
"Lorong Ah Soo","Hougang",32040
"Lorong Chuan","Serangoon",8680
"Lorong Halus","Hougang",0
"Lorong Halus North","Sengkang",0
"Lower Seletar","Yishun",19230
"Loyang East","Pasir Ris",2120
"Loyang West","Pasir Ris",210
"Mackenzie","Rochor",160
"Macpherson","Geylang",27160
"Malcolm","Novena",3090
"Mandai East","Mandai",0
"Mandai Estate","Mandai",2090
"Mandai West","Mandai",0
"Margaret Drive","Queenstown",22420
"Marina Centre","Downtown Core",10
"Marina East","Marina East",0
"Marina East (Mp)","Marine Parade",0
"Marina South","Marina South",0
"Marine Parade","Marine Parade",26510
"Maritime Square","Bukit Merah",4270
"Marymount","Bishan",29000
"Matilda","Punggol",53630
"Maxwell","Downtown Core",0
"Mei Chin","Queenstown",15310
"Midview","Woodlands",34540
"Monk's Hill","Newton",1130
"Moulmein","Novena",10080
"Mount Emily","Rochor",1880
"Mount Pleasant","Novena",720
"Mountbatten","Marine Parade",9980
"Murai","Western Water Catchment",610
"Nassim","Tanglin",10060
"National University Of S'pore","Queenstown",230
"Nature Reserve","Bukit Panjang",3960
"Nee Soon","Yishun",910
"Newton Circus","Newton",280
"Nicoll","Downtown Core",380
"North Coast","Woodlands",11590
"North-Eastern Islands","North-Eastern Islands",40
"Northland","Yishun",27600
"Northshore","Punggol",9690
"One North","Queenstown",830
"One Tree Hill","River Valley",2230
"Orange Grove","Newton",1910
"Oxley","River Valley",1600
"Pandan","Clementi",10
"Pang Sua","Sungei Kadut",20
"Park","Tengah",0
"Pasir Panjang 1","Queenstown",4820
"Pasir Panjang 2","Queenstown",3040
"Pasir Ris Central","Pasir Ris",32260
"Pasir Ris Drive","Pasir Ris",52860
"Pasir Ris Park","Pasir Ris",7940
"Pasir Ris Wafer Fab Park","Pasir Ris",10
"Pasir Ris West","Pasir Ris",35370
"Paterson","River Valley",300
"Paya Lebar East","Paya Lebar",0
"Paya Lebar North","Paya Lebar",20
"Paya Lebar West","Paya Lebar",0
"Pearl's Hill","Outram",5650
"Pei Chun","Toa Payoh",10050
"Peng Siang","Choa Chu Kang",34130
"Penjuru Crescent","Jurong East",10
"People's Park","Outram",280
"Phillip","Downtown Core",0
"Pioneer Sector","Pioneer",10
"Plab","Paya Lebar",0
"Plantation","Tengah",0
"Port","Queenstown",120
"Potong Pasir","Toa Payoh",11630
"Pulau Punggol Barat","Seletar",0
"Pulau Punggol Timor","Seletar",0
"Pulau Seletar","Simpang",0
"Punggol Canal","Punggol",0
"Punggol Field","Punggol",48740
"Punggol Town Centre","Punggol",22570
"Queensway","Queenstown",260
"Raffles Place","Downtown Core",20
"Redhill","Bukit Merah",11030
"Reservoir View","Sungei Kadut",10
"Ridout","Tanglin",1560
"Rivervale","Sengkang",58790
"Robertson Quay","Singapore River",3480
"Rochor Canal","Rochor",0
"Safti","Jurong West",0
"Samulun","Boon Lay",10
"Saujana","Bukit Panjang",25440
"Selegie","Rochor",210
"Seletar","Seletar",290
"Seletar Aerospace Park","Seletar",10
"Seletar Hills","Serangoon",15210
"Semakau","Western Islands",0
"Sembawang Central","Sembawang",35280
"Sembawang East","Sembawang",21730
"Sembawang Hills","Ang Mo Kio",6790
"Sembawang North","Sembawang",25540
"Sembawang Springs","Sembawang",9610
"Sembawang Straits","Sembawang",2390
"Sengkang Town Centre","Sengkang",61200
"Sengkang West","Sengkang",0
"Senja","Bukit Panjang",21440
"Sennett","Toa Payoh",14930
"Senoko North","Sembawang",10
"Senoko South","Sembawang",20
"Senoko West","Woodlands",20
"Sentosa","Southern Islands",2220
"Serangoon Central","Serangoon",24070
"Serangoon Garden","Serangoon",36260
"Serangoon North","Serangoon",15540
"Serangoon North Ind Estate","Serangoon",0
"Shangri-La","Ang Mo Kio",17390
"Shipyard","Boon Lay",10
"Siglap","Bedok",7300
"Simei","Tampines",38820
"Simpang North","Simpang",0
"Simpang South","Simpang",0
"Singapore General Hospital","Bukit Merah",10
"Singapore Polytechnic","Queenstown",90
"Somerset","Orchard",160
"Southern Group","Southern Islands",0
"Springleaf","Yishun",4430
"Straits View","Straits View",0
"Sudong","Western Islands",0
"Sungei Road","Rochor",1980
"Sunset Way","Clementi",5440
"Swiss Club","Bukit Timah",5550
"Tagore","Ang Mo Kio",7960
"Tai Seng","Hougang",13400
"Taman Jurong","Jurong West",39420
"Tampines East","Tampines",127020
"Tampines North","Tampines",16630
"Tampines West","Tampines",81120
"Tanglin","Orchard",440
"Tanglin Halt","Queenstown",6280
"Tanjong Irau","Simpang",0
"Tanjong Pagar","Downtown Core",790
"Tanjong Rhu","Kallang",11290
"Teban Gardens","Jurong East",17750
"Teck Whye","Choa Chu Kang",23880
"Telok Blangah Drive","Bukit Merah",19290
"Telok Blangah Rise","Bukit Merah",11830
"Telok Blangah Way","Bukit Merah",8710
"Tengah Industrial Estate","Tengah",0
"Tengeh","Tuas",0
"The Wharves","Sembawang",0
"Tiong Bahru","Bukit Merah",12370
"Tiong Bahru Station","Bukit Merah",14860
"Toa Payoh Central","Toa Payoh",27510
"Toa Payoh West","Toa Payoh",14170
"Toh Guan","Jurong East",14200
"Toh Tuck","Clementi",20
"Townsville","Ang Mo Kio",20310
"Trafalgar","Hougang",49880
"Tuas Bay","Tuas",10
"Tuas North","Tuas",10
"Tuas Promenade","Tuas",10
"Tuas View","Tuas",10
"Tuas View Extension","Tuas",10
"Tukang","Boon Lay",10
"Turf Club","Sungei Kadut",680
"Tyersall","Tanglin",4020
"Ulu Pandan","Bukit Timah",11220
"Upper Paya Lebar","Serangoon",18150
"Upper Thomson","Bishan",29060
"Victoria","Rochor",1640
"Waterway East","Punggol",51180
"Wenya","Jurong West",8200
"West Coast","Clementi",9090
"Woodgrove","Woodlands",33080
"Woodlands East","Woodlands",98500
"Woodlands Regional Centre","Woodlands",0
"Woodlands South","Woodlands",40480
"Woodlands West","Woodlands",33880
"Woodleigh","Toa Payoh",2860
"Xilin","Tampines",1750
"Yew Tee","Choa Chu Kang",39890
"Yio Chu Kang","Ang Mo Kio",10
"Yio Chu Kang East","Ang Mo Kio",4330
"Yio Chu Kang North","Ang Mo Kio",0
"Yio Chu Kang West","Ang Mo Kio",23990
"Yishun Central","Yishun",2940
"Yishun East","Yishun",62880
"Yishun South","Yishun",42090
"Yishun West","Yishun",52510
"Yuhua East","Jurong East",24150
"Yuhua West","Jurong East",18720
"Yunnan","Jurong West",66360
