Subzone,Planning Area,Population
Rochor Canal,Rochor,0
Safti,Jurong West,0
Samulun,Boon Lay,10
Saujana,Bukit Panjang,25350
Selegie,Rochor,160
Seletar,Seletar,280
Seletar Aerospace Park,Seletar,10
Seletar Hills,Serangoon,15480
Semakau,Western Islands,0
Sembawang Central,Sembawang,35600
Sembawang East,Sembawang,21980
Sembawang Hills,Ang Mo Kio,6990
Sembawang North,Sembawang,25890
Sembawang Springs,Sembawang,9630
Sembawang Straits,Sembawang,2400
Sengkang Town Centre,Sengkang,61210
Sengkang West,Sengkang,0
Senja,Bukit Panjang,23730
Sennett,Toa Payoh,16110
Senoko North,Sembawang,10
Senoko South,Sembawang,20
Senoko West,Woodlands,40
Sentosa,Southern Islands,2350
Serangoon Central,Serangoon,24020
Serangoon Garden,Serangoon,36350
Serangoon North,Serangoon,15590
Serangoon North Ind Estate,Serangoon,10
Shangri-La,Ang Mo Kio,17630
Shipyard,Boon Lay,10
Siglap,Bedok,7320
Simei,Tampines,39050
Simpang North,Simpang,0
Simpang South,Simpang,0
Singapore General Hospital,Bukit Merah,10
Singapore Polytechnic,Queenstown,120
Somerset,Orchard,170
Southern Group,Southern Islands,0
Springleaf,Yishun,4440
Straits View,Straits View,0
Sudong,Western Islands,0
Sungei Road,Rochor,1960
Sunset Way,Clementi,5520
Swiss Club,Bukit Timah,5950
Tagore,Ang Mo Kio,7960
Tai Seng,Hougang,13300
Taman Jurong,Jurong West,39600
Tampines East,Tampines,126460
Tampines North,Tampines,25680
Tampines West,Tampines,81370
Tanglin,Orchard,530
Tanglin Halt,Queenstown,5520
Tanjong Irau,Simpang,0
Tanjong Pagar,Downtown Core,870
Tanjong Rhu,Kallang,11460
Teban Gardens,Jurong East,17780
Teck Whye,Choa Chu Kang,24430
Telok Blangah Drive,Bukit Merah,19390
Telok Blangah Rise,Bukit Merah,11780
Telok Blangah Way,Bukit Merah,8590
Tengah Industrial Estate,Tengah,0
Tengeh,Tuas,0
The Wharves,Sembawang,0
Tiong Bahru,Bukit Merah,12240
Tiong Bahru Station,Bukit Merah,14870
Toa Payoh Central,Toa Payoh,27570
Toa Payoh West,Toa Payoh,14120
Toh Guan,Jurong East,14120
Toh Tuck,Clementi,20
Townsville,Ang Mo Kio,20210
Trafalgar,Hougang,50080
Tuas Bay,Tuas,10
Tuas North,Tuas,20
Tuas Promenade,Tuas,10
Tuas View,Tuas,20
Tuas View Extension,Tuas,10
Tukang,Boon Lay,10
Turf Club,Sungei Kadut,680
Tyersall,Tanglin,4140
Ulu Pandan,Bukit Timah,11470
Upper Paya Lebar,Serangoon,18650
Upper Thomson,Bishan,31090
Victoria,Rochor,1700
Waterway East,Punggol,53580
Wenya,Jurong West,8280
West Coast,Clementi,10100
Woodgrove,Woodlands,33130
Woodlands East,Woodlands,100220
Woodlands Regional Centre,Woodlands,0
Woodlands South,Woodlands,40270
Woodlands West,Woodlands,35460
Woodleigh,Toa Payoh,3350
Xilin,Tampines,1810
Yew Tee,Choa Chu Kang,40070
Yio Chu Kang,Ang Mo Kio,10
Yio Chu Kang East,Ang Mo Kio,4400
Yio Chu Kang North,Ang Mo Kio,0
Yio Chu Kang West,Ang Mo Kio,23820
Yishun Central,Yishun,2960
Yishun East,Yishun,70190
Yishun South,Yishun,41920
Yishun West,Yishun,52160
Yuhua East,Jurong East,24070
Yuhua West,Jurong East,18800
Yunnan,Jurong West,66890
